timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741646234.64005303,71748841,0,0.07,0.05,0.74,-0.017385005950927734,0.01681690104305744,3.260569792473689e-05,-4.73702784802299e-05,-0.014799130149185658,0.014270354993641376,0.0001495840260758996,0.04,0.04,-0.03,584.16
1741646234.64005303,71748841,1,0.07,0.05,0.74,-0.017528124153614044,0.01839425228536129,-0.0005522145656868815,-4.892595825367607e-06,-0.01503361202776432,0.015111871063709259,-0.000859454448800534,0.04,0.04,-0.03,584.16
1741646234.68003988,71788828,0,0.07,0.05,0.74,-0.017253389582037926,0.016670474782586098,3.190279676346108e-05,-4.119180084671825e-05,-0.014612815342843533,0.01409352757036686,0.00014732801355421543,0.04,0.04,-0.03,584.16
1741646234.68003988,71788828,1,0.07,0.05,0.74,-0.017628123983740807,0.01851731352508068,-0.0005508690956048667,-2.5220433599315584e-05,-0.015123550780117512,0.015234271064400673,-0.0008623659377917647,0.04,0.04,-0.03,584.16
1741646234.72002602,71828814,0,0.07,0.05,0.74,-0.017176927998661995,0.01662045158445835,3.866387032758212e-06,-6.764254794688895e-05,-0.01453046128153801,0.014017147943377495,0.00014547862519975752,0.04,0.04,-0.03,584.16
1741646234.72002602,71828814,1,0.07,0.05,0.74,-0.017332090064883232,0.01831761561334133,-0.000542803667485714,4.908484243060229e-06,-0.014751723036170006,0.014892100356519222,-0.0008527155732735991,0.04,0.04,-0.03,584.16
1741646234.76001310,71868801,0,0.07,0.05,0.74,-0.01713741198182106,0.016594724729657173,-3.189568587913527e-06,-7.120689406292513e-05,-0.014538819901645184,0.014028108678758144,0.00014323934738058597,0.04,0.04,-0.03,584.16
1741646234.76001310,71868801,1,0.07,0.05,0.74,-0.0173330195248127,0.01840965263545513,-0.0005728238029405475,-6.123512321210001e-06,-0.014754805713891983,0.014929755590856075,-0.0008549297926947474,0.04,0.04,-0.03,584.16
1741646234.79999995,71908788,0,0.07,0.05,0.74,-0.017138483002781868,0.016647757962346077,1.9505119780660607e-05,-4.212038402329199e-05,-0.01462903618812561,0.014119298197329044,0.0001412427518516779,0.04,0.04,-0.03,584.16
1741646234.79999995,71908788,1,0.07,0.05,0.74,-0.017310526221990585,0.018472667783498764,-0.000579337531235069,-2.7841393603011966e-05,-0.014841075986623764,0.015054081566631794,-0.0008599978755228221,0.04,0.04,-0.03,584.16
1741646234.81999302,71928781,0,0.07,0.05,0.74,-0.01711687073111534,0.016619281843304634,1.950316254806239e-05,-3.844134698738344e-05,-0.01461696345359087,0.014110290445387363,0.00014044098497834057,0.04,0.04,-0.03,584.16
