timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741645116.81999588,162997742,0,0.07,0.06,0.56,-0.017810214310884476,0.017403533682227135,-0.00018808840832207352,-0.00012667382543440908,-0.01519888173788786,0.014881651848554611,-1.570475251355674e-05,0.11,0.11,0.06,584.16
1741645116.81999588,162997742,1,0.07,0.05,0.56,-0.016673840582370758,0.01692228764295578,0.00028149413992650807,0.0001648933975957334,-0.014461997896432877,0.014574295841157436,0.00016390431846957654,0.11,0.11,0.06,584.16
1741645116.83999300,163017739,0,0.07,0.06,0.56,-0.017823776230216026,0.017411913722753525,-0.00018824823200702667,-0.0001276451366720721,-0.015206292271614075,0.014885766431689262,-1.8530590750742704e-05,0.11,0.11,0.06,584.16
1741645116.83999300,163017739,1,0.07,0.05,0.56,-0.01669633388519287,0.016917316243052483,0.0003267015272285789,0.00021550660312641412,-0.014464295469224453,0.014577537775039673,0.00016771383525338024,0.11,0.11,0.06,584.16
1741645116.85998988,163037736,0,0.07,0.06,0.56,-0.017943354323506355,0.017527928575873375,-0.0001922684459714219,-0.00013253143697511405,-0.015401111915707588,0.015074457973241806,-2.1830257537658326e-05,0.11,0.11,0.06,584.16
1741645116.85998988,163037736,1,0.07,0.05,0.56,-0.01681041531264782,0.017025360837578773,0.000328180001815781,0.000221025082282722,-0.014645034447312355,0.014760550111532211,0.0001731293450575322,0.11,0.11,0.06,584.16
1741645116.89998293,163077729,0,0.07,0.06,0.56,-0.017913179472088814,0.017489684745669365,-0.0001943123497767374,-0.00013099831994622946,-0.015369758009910583,0.015039821155369282,-2.6699703084887005e-05,0.11,0.11,0.06,584.16
1741645116.89998293,163077729,1,0.07,0.05,0.56,-0.01666403003036976,0.01687815971672535,0.0003238743229303509,0.00022484012879431248,-0.014476489275693893,0.014589916914701462,0.00017949826724361628,0.11,0.11,0.06,584.16
1741645116.93997598,163117722,0,0.07,0.06,0.55,-0.017663467675447464,0.017226677387952805,-0.000193470434169285,-0.00011627114145085216,-0.015037471428513527,0.014710270799696445,-3.0267354304669425e-05,0.11,0.11,0.06,584.16
1741645116.93997598,163117722,1,0.07,0.05,0.56,-0.016556503251194954,0.016725905239582062,0.0004323951434344053,0.0003054076514672488,-0.014396648854017258,0.014508902095258236,0.00018797047960106283,0.11,0.11,0.06,584.16
